Serial No,Primary,Secondary,Tertiary,Source,Photographer,Receptacle,Lining,Image Name
200,Dry,NA,NA,House,Manu,Bin,None,IMG_20180131_100401.jpg
201,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180131_100427.jpg
202,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180131_100431.jpg
203,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180131_100439.jpg
204,Wet,NA,Dry,House,Manu,Bin,Newspaper,IMG_20180131_100448.jpg
205,Wet,NA,Dry,House,Manu,Bin,Newspaper,IMG_20180131_100453.jpg
206,Wet,NA,Dry,House,Manu,Bin,Newspaper,IMG_20180131_100459.jpg
207,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180131_100509.jpg
208,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180131_100515.jpg
209,Garden,NA,Wet,House,Manu,Bin,Newspaper,IMG_20180131_100518.jpg
210,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180131_100523.jpg
211,Garden,NA,Wet,House,Manu,Bin,Newspaper,IMG_20180131_100529.jpg
212,Garden,NA,Wet,House,Manu,Bin,Newspaper,IMG_20180131_100532.jpg
213,Garden,NA,Wet,House,Manu,Bin,Newspaper,IMG_20180131_100539.jpg
214,Wet,NA,Garden,House,Manu,Bin,Newspaper,IMG_20180131_100549.jpg
215,Wet,NA,Garden,House,Manu,Bin,Newspaper,IMG_20180131_100553.jpg
216,Wet,NA,Garden,House,Manu,Bin,Newspaper,MG_20180131_100557.jpg
217,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180131_100610.jpg
218,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180131_100614.jpg
219,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180131_100618.jpg
220,Wet,NA,NA,House,Manu,None,Plastic,IMG_20180131_100629.jpg
221,Wet,NA,NA,House,Manu,None,Plastic,IMG_20180131_100641.jpg
222,Dry,NA,NA,House,Manu,Bin,Newspaper,IMG_20180131_100735.jpg
223,Dry,NA,NA,House,Manu,Bin,Newspaper,IMG_20180131_100739.jpg
224,Wet,NA,NA,House,Manu,Bin,None,IMG_20180131_100759.jpg
225,Wet,NA,NA,House,Manu,Bin,None,IMG_20180131_100804.jpg
226,Wet,NA,NA,House,Manu,Bin,None,IMG_20180131_100810.jpg
227,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180203_100514.jpg
228,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180203_100517.jpg
229,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180203_100523.jpg
230,Dry,NA,NA,House,Manu,Bin,Newspaper,IMG_20180203_100530.jpg
231,Dry,NA,NA,House,Manu,Bin,Newspaper,IMG_20180203_100532.jpg
232,Dry,NA,NA,House,Manu,Bin,Newspaper,IMG_20180203_100537.jpg
233,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180203_100618.jpg
234,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180203_100621.jpg
235,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180203_100624.jpg
236,Dry,NA,NA,House,Manu,Bin,Plastic,IMG_20180203_100627.jpg
237,Dry,NA,NA,House,Manu,Bin,Plastic,IMG_20180203_100629.jpg
238,Dry,NA,NA,House,Manu,Bin,Plastic,IMG_20180203_100632.jpg
239,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180203_100638.jpg
240,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180203_100640.jpg
241,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180203_100643.jpg
242,Dry,NA,NA,House,Manu,Bin,Newspaper,IMG_20180203_100656.jpg
243,Dry,NA,NA,House,Manu,Bin,Newspaper,IMG_20180203_100659.jpg
244,Dry,NA,NA,House,Manu,Bin,Newspaper,IMG_20180203_100701.jpg
245,Wet,Garden,NA,House,Manu,Bin,None,IMG_20180203_100709.jpg
246,Wet,Garden,NA,House,Manu,Bin,None,IMG_20180203_100712.jpg
247,Wet,Garden,NA,House,Manu,Bin,None,IMG_20180203_100715.jpg
248,Dry,NA,NA,House,Manu,Bin,Newspaper,IMG_20180203_100728.jpg
249,Dry,NA,NA,House,Manu,Bin,Newspaper,IMG_20180203_100732.jpg
250,Dry,NA,NA,House,Manu,Bin,Newspaper,IMG_20180203_100736.jpg
251,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_094516.jpg
252,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_094522.jpg
253,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_094527.jpg
254,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_094549.jpg
255,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_094555.jpg
256,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_094558.jpg
257,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_094621.jpg
258,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_094629.jpg
259,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_094633.jpg
260,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_094645.jpg
261,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_094648.jpg
262,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_094654.jpg
263,Garden,NA,Wet,House,Manu,Bin,None,IMG_20180204_094706.jpg
264,Garden,NA,Wet,House,Manu,Bin,None,IMG_20180204_094709.jpg
265,Garden,NA,Wet,House,Manu,Bin,None,IMG_20180204_094713.jpg
266,Dry,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_094729.jpg
267,Dry,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_094734.jpg
268,Dry,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_094738.jpg
269,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_094842.jpg
270,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_094846.jpg
271,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_094848.jpg
272,Dry,NA,Wet,House,Manu,Bin,Newspaper,IMG_20180204_094903.jpg
273,Garden,NA,Dry,House,Manu,Bin,Newspaper,IMG_20180204_094908.jpg
274,Garden,NA,Dry,House,Manu,Bin,Newspaper,IMG_20180204_094913.jpg
275,Wet,Dry,NA,House,Manu,Bin,Newspaper,IMG_20180204_094929.jpg
276,Wet,Dry,NA,House,Manu,Bin,Newspaper,IMG_20180204_094931.jpg
277,Wet,Dry,NA,House,Manu,Bin,Newspaper,IMG_20180204_094934.jpg
278,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_094941.jpg
279,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_094945.jpg
280,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_094949.jpg
281,Wet,Garden,NA,House,Manu,Bin,Newspaper,IMG_20180204_095015.jpg
282,Wet,Garden,NA,House,Manu,Bin,Newspaper,IMG_20180204_095019.jpg
283,Wet,Garden,NA,House,Manu,Bin,Newspaper,IMG_20180204_095021.jpg
284,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_095027.jpg
285,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_095031.jpg
286,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_095035.jpg
287,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_095049.jpg
288,Wet,NA,NA,House,Manu,Bin,Newspaper,IMG_20180204_095053.jpg
